Service_ID,Service_Date,Location,Branch,Region,Franchise_ID,Product_Category,Service_Type,Technician_ID,Customer_ID,Service_Duration,Part_Name,Parts_Used,Parts_Cost,Parts_Revenue,Service_Cost,Service_Revenue,Total_Revenue,Warranty_Claim,Customer_Satisfaction,Product_Age_Months,First_Call_Resolution,Priority
SVC010017,2023-12-18,Chennai_Anna_Nagar,Chennai_Anna_Nagar,South,FR004_Chennai,Kitchen Appliances,Part Replacement,TECH_CHE005,CUST629959,2.0,None,0,0.0,0.0,738.44,987.23,987.23,0,3.6,1,1,1
SVC010018,2023-09-26,Bangalore_Whitefield,Bangalore_Whitefield,South,FR003_Bangalore,Kitchen Appliances,Annual Maintenance Contract,TECH_BAN009,CUST839945,1.9,Motor,1,2591.18,1624.0680000000002,601.35,245.214,1869.2820000000002,1,3.6,116,0,4
SVC010019,2023-02-10,Pune_Hinjewadi,Pune_Hinjewadi,West,FR006_Pune,Refrigerator,Part Replacement,TECH_PUN004,CUST799330,1.2,None,0,0.0,0.0,452.19,661.35,661.35,0,3.3,120,1,1
SVC010020,2023-07-01,Hyderabad_Secunderabad,Hyderabad_Secunderabad,South,FR007_Hyderabad,Washing Machine,Repair,TECH_HYD006,CUST920391,5.7,None,0,0.0,0.0,2125.03,3451.69,3451.69,0,4.6,14,1,1
SVC010021,2024-04-26,Chennai_Velachery,Chennai_Velachery,South,FR004_Chennai,Refrigerator,Cleaning,TECH_CHE008,CUST466643,1.0,None,0,0.0,0.0,245.52,321.5,321.5,0,3.7,111,1,3
SVC010022,2023-12-26,Jaipur_Malviya_Nagar,Jaipur_Malviya_Nagar,North,FR009_Rajasthan,Dishwasher,Part Replacement,TECH_JAI009,CUST447235,2.9,Pump,2,1784.72,2622.0,1036.13,1527.83,4149.83,0,3.2,116,1,1
SVC010023,2024-12-26,Hyderabad_Secunderabad,Hyderabad_Secunderabad,South,FR007_Hyderabad,Washing Machine,Diagnostic,TECH_HYD009,CUST820221,2.4,None,0,0.0,0.0,801.9,347.78999999999996,347.78999999999996,1,4.3,43,1,2
SVC010024,2023-05-08,Kolkata_Park_Street,Kolkata_Park_Street,East,FR005_Kolkata,Air Conditioner,Maintenance,TECH_KOL007,CUST442027,1.1,Fan Motor,1,1746.58,2773.7,369.01,612.97,3386.67,0,3.6,71,0,1
SVC010025,2023-08-04,Hyderabad_Secunderabad,Hyderabad_Secunderabad,South,FR007_Hyderabad,Air Conditioner,Diagnostic,TECH_HYD006,CUST587575,1.9,None,0,0.0,0.0,574.25,928.85,928.85,0,4.5,85,1,2
SVC010026,2024-10-10,Indore_Vijay_Nagar,Indore_Vijay_Nagar,Central,FR011_MP,Microwave Oven,Installation,TECH_IND004,CUST805477,2.3,None,0,0.0,0.0,527.78,695.87,695.87,0,4.2,99,1,2
SVC010027,2024-10-06,Surat_Adajan,Surat_Adajan,West,FR008_Gujarat,Refrigerator,Part Replacement,TECH_SUR007,CUST618392,1.8,Compressor,3,10525.19,6285.264,560.67,280.389,6565.653,1,3.3,60,1,4
SVC010028,2024-09-01,Pune_Kothrud,Pune_Kothrud,West,FR006_Pune,Dishwasher,Diagnostic,TECH_PUN009,CUST547470,2.7,Door Latch,1,385.02,596.92,993.53,1401.8,1998.7199999999998,0,4.0,31,1,1
SVC010029,2023-10-20,Chennai_Velachery,Chennai_Velachery,South,FR004_Chennai,Microwave Oven,Maintenance,TECH_CHE006,CUST666390,0.6,Diode,2,450.79,680.03,169.89,234.91,914.9399999999999,0,4.8,75,0,1
SVC010030,2024-08-12,Hyderabad_Gachibowli,Hyderabad_Gachibowli,South,FR007_Hyderabad,Dishwasher,Installation,TECH_HYD006,CUST413118,3.4,None,0,0.0,0.0,1328.33,1949.47,1949.47,0,4.1,78,0,2
SVC010031,2023-10-07,Hyderabad_Secunderabad,Hyderabad_Secunderabad,South,FR007_Hyderabad,Dishwasher,Installation,TECH_HYD007,CUST452457,3.2,None,0,0.0,0.0,1103.48,1805.52,1805.52,0,5.0,69,1,1
SVC010032,2024-07-31,Mumbai_Central,Mumbai_Central,West,FR001_Mumbai_West,Washing Machine,Part Replacement,TECH_MUM007,CUST242291,2.7,Pump,2,1411.59,2191.13,744.73,1192.17,3383.3,0,3.5,11,1,2
SVC010033,2023-02-23,Pune_Hinjewadi,Pune_Hinjewadi,West,FR006_Pune,Refrigerator,Part Replacement,TECH_PUN002,CUST919182,2.9,Thermostat,1,639.55,897.98,668.38,902.64,1800.62,0,4.1,28,1,1
SVC010034,2024-01-13,Bangalore_Whitefield,Bangalore_Whitefield,South,FR003_Bangalore,Air Conditioner,Diagnostic,TECH_BAN002,CUST915573,2.6,None,0,0.0,0.0,576.21,754.99,754.99,0,4.4,49,1,2
SVC010035,2023-03-19,Surat_Adajan,Surat_Adajan,West,FR008_Gujarat,Kitchen Appliances,Cleaning,TECH_SUR004,CUST206851,1.5,Switch,3,1686.2,2485.65,451.79,648.99,3134.6400000000003,0,4.6,14,1,1
SVC010036,2024-04-15,Bangalore_Koramangala,Bangalore_Koramangala,South,FR003_Bangalore,Dishwasher,Repair,TECH_BAN009,CUST782054,2.4,None,0,0.0,0.0,738.32,1102.61,1102.61,0,4.5,35,1,1
SVC010037,2023-03-30,Kolkata_Salt_Lake,Kolkata_Salt_Lake,East,FR005_Kolkata,Dishwasher,Repair,TECH_KOL008,CUST697530,4.1,Door Latch,1,505.29,725.78,993.94,1609.32,2335.1,0,4.8,90,0,2
SVC010038,2024-06-13,Chennai_Anna_Nagar,Chennai_Anna_Nagar,South,FR004_Chennai,Washing Machine,Repair,TECH_CHE007,CUST612311,3.8,Control Board,2,3698.82,5247.19,928.41,1463.84,6711.03,0,4.2,61,1,1
SVC010039,2024-07-17,Pune_Kothrud,Pune_Kothrud,West,FR006_Pune,Microwave Oven,Part Replacement,TECH_PUN008,CUST384076,1.6,Diode,3,4483.54,6448.71,556.35,784.79,7233.5,0,4.5,77,1,1
SVC010040,2023-07-18,Kolkata_Park_Street,Kolkata_Park_Street,East,FR005_Kolkata,Refrigerator,Maintenance,TECH_KOL003,CUST416950,0.5,Compressor,2,11419.64,16275.91,186.85,279.59,16555.5,0,4.1,61,1,1
SVC010041,2023-02-22,Kolkata_Salt_Lake,Kolkata_Salt_Lake,East,FR005_Kolkata,Dishwasher,Installation,TECH_KOL002,CUST520172,2.7,Spray Arm,3,2233.28,3237.45,841.36,1233.83,4471.28,0,4.2,100,1,2
SVC010042,2024-03-29,Kolkata_Park_Street,Kolkata_Park_Street,East,FR005_Kolkata,Air Conditioner,Annual Maintenance Contract,TECH_KOL005,CUST696251,2.2,None,0,0.0,0.0,765.64,1285.54,1285.54,0,3.4,85,1,1
SVC010043,2024-07-19,Delhi_South,Delhi_South,North,FR002_Delhi_NCR,Refrigerator,Installation,TECH_DEL007,CUST572387,3.2,Thermostat,1,701.67,1022.01,1190.15,1581.08,2603.09,0,3.5,102,1,2
SVC010044,2023-07-22,Hyderabad_Secunderabad,Hyderabad_Secunderabad,South,FR007_Hyderabad,Washing Machine,Diagnostic,TECH_HYD004,CUST779094,1.3,Motor,1,1619.28,2523.69,414.71,675.85,3199.54,0,3.9,60,1,2
SVC010045,2023-10-06,Jaipur_Malviya_Nagar,Jaipur_Malviya_Nagar,North,FR009_Rajasthan,Air Conditioner,Annual Maintenance Contract,TECH_JAI008,CUST184349,2.2,None,0,0.0,0.0,763.19,352.935,352.935,1,3.5,87,0,2
SVC010046,2023-01-22,Kolkata_Salt_Lake,Kolkata_Salt_Lake,East,FR005_Kolkata,Air Conditioner,Installation,TECH_KOL003,CUST593355,2.8,Fan Motor,2,2210.92,3523.79,823.21,1204.64,4728.43,0,3.2,21,1,2
SVC010047,2023-10-23,Hyderabad_Gachibowli,Hyderabad_Gachibowli,South,FR007_Hyderabad,Air Conditioner,Installation,TECH_HYD008,CUST192337,2.3,Filter,2,9195.45,13633.63,546.29,789.23,14422.859999999999,0,4.3,98,1,1
SVC010048,2023-05-15,Kolkata_Park_Street,Kolkata_Park_Street,East,FR005_Kolkata,Dishwasher,Part Replacement,TECH_KOL008,CUST227324,1.1,None,0,0.0,0.0,395.85,626.99,626.99,0,3.0,53,1,4
SVC010049,2023-04-27,Ahmedabad_Satellite,Ahmedabad_Satellite,West,FR008_Gujarat,Washing Machine,Part Replacement,TECH_AHM003,CUST622584,2.9,Door Lock,3,4863.26,7181.66,1114.68,1675.69,8857.35,0,4.7,36,0,3
SVC010050,2023-12-15,Jaipur_Malviya_Nagar,Jaipur_Malviya_Nagar,North,FR009_Rajasthan,Microwave Oven,Cleaning,TECH_JAI001,CUST396578,1.6,None,0,0.0,0.0,505.58,790.72,790.72,0,3.9,62,1,2
SVC010051,2024-07-10,Hyderabad_Gachibowli,Hyderabad_Gachibowli,South,FR007_Hyderabad,Dishwasher,Maintenance,TECH_HYD004,CUST831380,0.9,Spray Arm,2,1546.55,2416.15,249.49,390.57,2806.7200000000003,0,5.0,64,0,1
SVC010052,2024-08-27,Pune_Kothrud,Pune_Kothrud,West,FR006_Pune,Washing Machine,Cleaning,TECH_PUN008,CUST204555,1.3,Drum,3,4540.15,6922.15,363.35,484.03,7406.179999999999,0,4.3,69,1,1
SVC010053,2024-05-14,Lucknow_Gomti_Nagar,Lucknow_Gomti_Nagar,North,FR010_UP,Washing Machine,Diagnostic,TECH_LUC002,CUST346174,2.3,None,0,0.0,0.0,918.82,1468.92,1468.92,0,3.2,82,1,1
SVC010054,2023-06-20,Kolkata_Park_Street,Kolkata_Park_Street,East,FR005_Kolkata,Washing Machine,Installation,TECH_KOL006,CUST934816,1.6,Drum,2,4454.29,6942.03,374.39,498.53,7440.5599999999995,0,4.2,31,1,2
SVC010055,2023-08-26,Ahmedabad_Satellite,Ahmedabad_Satellite,West,FR008_Gujarat,Kitchen Appliances,Maintenance,TECH_AHM008,CUST367729,1.5,None,0,0.0,0.0,439.58,622.03,622.03,0,3.1,45,0,1
SVC010056,2024-03-10,Kolkata_Salt_Lake,Kolkata_Salt_Lake,East,FR005_Kolkata,Dishwasher,Cleaning,TECH_KOL005,CUST308894,2.0,None,0,0.0,0.0,442.66,642.98,642.98,0,3.6,90,1,4
SVC010057,2024-11-05,Hyderabad_Gachibowli,Hyderabad_Gachibowli,South,FR007_Hyderabad,Microwave Oven,Installation,TECH_HYD010,CUST819112,3.4,None,0,0.0,0.0,1299.22,2076.24,2076.24,0,4.8,100,0,2
SVC010058,2023-12-27,Chennai_Velachery,Chennai_Velachery,South,FR004_Chennai,Kitchen Appliances,Repair,TECH_CHE010,CUST362801,4.4,None,0,0.0,0.0,1460.08,2387.72,2387.72,0,4.8,83,1,3
SVC010059,2023-02-04,Surat_Adajan,Surat_Adajan,West,FR008_Gujarat,Microwave Oven,Part Replacement,TECH_SUR003,CUST194511,2.8,Diode,2,497.53,793.21,857.28,1427.71,2220.92,0,3.5,106,0,4
SVC010060,2023-10-30,Pune_Kothrud,Pune_Kothrud,West,FR006_Pune,Washing Machine,Annual Maintenance Contract,TECH_PUN002,CUST247594,2.5,Control Board,3,5712.42,8900.73,506.96,767.86,9668.59,0,4.3,87,1,1
SVC010061,2024-10-15,Pune_Hinjewadi,Pune_Hinjewadi,West,FR006_Pune,Washing Machine,Part Replacement,TECH_PUN004,CUST594379,1.1,None,0,0.0,0.0,343.51,572.32,572.32,0,3.1,106,1,2
SVC010062,2024-10-26,Hyderabad_Secunderabad,Hyderabad_Secunderabad,South,FR007_Hyderabad,Washing Machine,Repair,TECH_HYD001,CUST139019,2.5,Drum,1,4718.15,6733.43,726.82,1139.8,7873.2300000000005,0,4.9,54,1,2
SVC010063,2024-02-29,Delhi_North,Delhi_North,North,FR002_Delhi_NCR,Dishwasher,Diagnostic,TECH_DEL007,CUST393328,1.1,Door Latch,2,1376.18,2115.38,339.78,574.61,2689.9900000000002,0,3.8,25,0,3
SVC010064,2024-04-10,Delhi_South,Delhi_South,North,FR002_Delhi_NCR,Kitchen Appliances,Repair,TECH_DEL010,CUST122394,1.3,Switch,1,191.04,299.16,404.09,620.1,919.26,0,3.5,100,1,3
SVC010065,2023-01-03,Kolkata_Salt_Lake,Kolkata_Salt_Lake,East,FR005_Kolkata,Refrigerator,Repair,TECH_KOL009,CUST362829,5.0,Thermostat,1,510.4,795.2,1237.93,1769.63,2564.83,0,3.1,95,1,1
SVC010066,2023-03-07,Ahmedabad_Maninagar,Ahmedabad_Maninagar,West,FR008_Gujarat,Dishwasher,Cleaning,TECH_AHM006,CUST638169,1.4,Filter,1,213.01,331.58,522.75,788.61,1120.19,0,4.9,8,0,3
SVC010067,2024-03-12,Delhi_North,Delhi_North,North,FR002_Delhi_NCR,Dishwasher,Part Replacement,TECH_DEL008,CUST177060,2.8,Spray Arm,1,337.86,515.19,887.8,1407.04,1922.23,0,4.2,38,1,2
SVC010068,2023-04-12,Delhi_North,Delhi_North,North,FR002_Delhi_NCR,Kitchen Appliances,Part Replacement,TECH_DEL009,CUST855855,2.7,Gasket,1,267.79,399.19,764.63,1023.1,1422.29,0,4.3,48,0,2
SVC010069,2024-04-30,Delhi_South,Delhi_South,North,FR002_Delhi_NCR,Washing Machine,Cleaning,TECH_DEL002,CUST197758,1.1,None,0,0.0,0.0,301.98,122.487,122.487,1,4.9,72,1,1
SVC010070,2023-12-29,Hyderabad_Secunderabad,Hyderabad_Secunderabad,South,FR007_Hyderabad,Kitchen Appliances,Installation,TECH_HYD005,CUST729575,2.3,Motor,3,3323.88,5023.22,512.85,723.85,5747.070000000001,0,3.9,72,0,3
SVC010071,2024-09-20,Lucknow_Gomti_Nagar,Lucknow_Gomti_Nagar,North,FR010_UP,Washing Machine,Diagnostic,TECH_LUC005,CUST130359,1.4,None,0,0.0,0.0,366.52,157.89,157.89,1,4.7,73,1,1
SVC010072,2024-10-10,Mumbai_Central,Mumbai_Central,West,FR001_Mumbai_West,Washing Machine,Part Replacement,TECH_MUM009,CUST325583,1.8,Door Lock,1,455.82,667.72,698.91,1075.27,1742.99,0,3.3,97,1,2
SVC010073,2023-10-06,Ahmedabad_Satellite,Ahmedabad_Satellite,West,FR008_Gujarat,Kitchen Appliances,Annual Maintenance Contract,TECH_AHM008,CUST736565,1.9,Heating Element,3,4024.09,6057.81,497.2,690.22,6748.030000000001,0,3.1,27,1,1
SVC010074,2023-05-21,Kolkata_Salt_Lake,Kolkata_Salt_Lake,East,FR005_Kolkata,Microwave Oven,Maintenance,TECH_KOL002,CUST108105,1.2,Turntable Motor,1,613.03,886.45,374.09,586.28,1472.73,0,3.8,95,1,1
SVC010075,2023-03-21,Pune_Kothrud,Pune_Kothrud,West,FR006_Pune,Air Conditioner,Annual Maintenance Contract,TECH_PUN010,CUST524068,2.4,Capacitor,1,308.34,451.7,864.63,1337.8,1789.5,0,4.8,12,1,1
SVC010076,2024-03-22,Surat_Adajan,Surat_Adajan,West,FR008_Gujarat,Dishwasher,Diagnostic,TECH_SUR002,CUST514991,2.7,None,0,0.0,0.0,659.65,318.936,318.936,1,4.3,68,1,3
SVC010077,2023-12-24,Pune_Hinjewadi,Pune_Hinjewadi,West,FR006_Pune,Kitchen Appliances,Cleaning,TECH_PUN003,CUST347745,0.7,Switch,1,180.57,280.21,150.55,253.0,533.21,0,3.9,73,0,2
SVC010078,2024-08-01,Indore_Vijay_Nagar,Indore_Vijay_Nagar,Central,FR011_MP,Microwave Oven,Cleaning,TECH_IND006,CUST258290,1.2,Capacitor,3,1098.1,654.636,253.65,124.23899999999999,778.875,1,4.7,110,1,2
SVC010079,2024-01-29,Ahmedabad_Satellite,Ahmedabad_Satellite,West,FR008_Gujarat,Air Conditioner,Diagnostic,TECH_AHM001,CUST571579,2.8,Thermostat,1,923.5,1385.5,1096.32,1622.78,3008.2799999999997,0,4.7,92,1,2
SVC010080,2023-02-10,Chennai_Velachery,Chennai_Velachery,South,FR004_Chennai,Kitchen Appliances,Annual Maintenance Contract,TECH_CHE008,CUST649525,2.0,Timer,2,831.18,505.216,715.69,334.71,839.9259999999999,1,3.2,87,1,1
SVC010081,2024-11-03,Indore_Vijay_Nagar,Indore_Vijay_Nagar,Central,FR011_MP,Refrigerator,Maintenance,TECH_IND002,CUST711046,1.5,None,0,0.0,0.0,393.07,614.14,614.14,0,3.3,91,0,1
SVC010082,2024-01-21,Pune_Kothrud,Pune_Kothrud,West,FR006_Pune,Refrigerator,Part Replacement,TECH_PUN009,CUST197992,2.3,Compressor,2,7842.53,11515.55,812.43,1118.56,12634.109999999999,0,3.3,38,0,1
SVC010083,2024-07-06,Jaipur_Malviya_Nagar,Jaipur_Malviya_Nagar,North,FR009_Rajasthan,Washing Machine,Part Replacement,TECH_JAI006,CUST903531,2.2,Drum,1,2952.11,4542.03,714.89,1187.48,5729.51,0,3.1,47,1,1
SVC010084,2024-03-30,Indore_Vijay_Nagar,Indore_Vijay_Nagar,Central,FR011_MP,Microwave Oven,Cleaning,TECH_IND008,CUST345369,1.3,Diode,2,931.66,1386.42,460.05,741.26,2127.6800000000003,0,3.8,21,0,3
SVC010085,2023-05-22,Kolkata_Salt_Lake,Kolkata_Salt_Lake,East,FR005_Kolkata,Washing Machine,Part Replacement,TECH_KOL008,CUST489244,2.1,Inlet Valve,3,2778.83,4175.67,769.04,1027.96,5203.63,0,4.6,114,1,1
SVC010086,2023-02-24,Hyderabad_Gachibowli,Hyderabad_Gachibowli,South,FR007_Hyderabad,Air Conditioner,Maintenance,TECH_HYD004,CUST504924,2.0,Thermostat,1,1151.58,722.196,659.98,320.067,1042.263,1,3.6,107,1,3
SVC010087,2024-12-23,Ahmedabad_Maninagar,Ahmedabad_Maninagar,West,FR008_Gujarat,Dishwasher,Diagnostic,TECH_AHM001,CUST183074,1.0,Filter,1,482.07,733.6,284.65,458.42,1192.02,0,3.2,31,1,3
SVC010088,2024-04-13,Delhi_South,Delhi_South,North,FR002_Delhi_NCR,Washing Machine,Cleaning,TECH_DEL008,CUST725726,1.3,None,0,0.0,0.0,409.51,650.06,650.06,0,3.0,46,1,2
SVC010089,2024-11-11,Delhi_South,Delhi_South,North,FR002_Delhi_NCR,Air Conditioner,Maintenance,TECH_DEL002,CUST651613,1.3,None,0,0.0,0.0,391.98,512.76,512.76,0,3.1,50,0,1
SVC010090,2023-01-17,Pune_Hinjewadi,Pune_Hinjewadi,West,FR006_Pune,Washing Machine,Maintenance,TECH_PUN004,CUST868544,1.5,Control Board,3,7195.45,10325.6,533.74,793.06,11118.66,0,4.3,104,1,2
SVC010091,2024-04-13,Mumbai_Andheri,Mumbai_Andheri,West,FR001_Mumbai_West,Microwave Oven,Repair,TECH_MUM001,CUST929538,2.0,Door Switch,2,965.04,1399.95,701.32,965.33,2365.28,0,4.6,111,1,1
SVC010092,2024-01-12,Hyderabad_Secunderabad,Hyderabad_Secunderabad,South,FR007_Hyderabad,Dishwasher,Part Replacement,TECH_HYD008,CUST505426,1.7,Door Latch,3,1306.93,1942.26,678.33,930.79,2873.05,0,3.2,42,1,1
SVC010093,2024-09-09,Hyderabad_Secunderabad,Hyderabad_Secunderabad,South,FR007_Hyderabad,Refrigerator,Part Replacement,TECH_HYD008,CUST468623,1.9,None,0,0.0,0.0,726.41,1122.99,1122.99,0,4.3,102,0,1
SVC010094,2024-10-14,Hyderabad_Gachibowli,Hyderabad_Gachibowli,South,FR007_Hyderabad,Microwave Oven,Diagnostic,TECH_HYD003,CUST132653,1.3,None,0,0.0,0.0,463.14,182.559,182.559,1,4.6,47,1,3
SVC010095,2023-02-03,Indore_Vijay_Nagar,Indore_Vijay_Nagar,Central,FR011_MP,Refrigerator,Part Replacement,TECH_IND008,CUST488984,1.7,None,0,0.0,0.0,535.13,809.0,809.0,0,4.3,32,0,1
SVC010096,2023-07-10,Ahmedabad_Maninagar,Ahmedabad_Maninagar,West,FR008_Gujarat,Air Conditioner,Annual Maintenance Contract,TECH_AHM009,CUST223481,1.5,Fan Motor,2,2046.19,3065.68,336.79,552.72,3618.3999999999996,0,4.8,57,0,3
SVC010097,2023-11-24,Pune_Hinjewadi,Pune_Hinjewadi,West,FR006_Pune,Kitchen Appliances,Installation,TECH_PUN009,CUST668507,2.2,Motor,1,3087.39,1854.596,493.4,204.327,2058.923,1,4.6,4,1,2
SVC010098,2024-04-23,Lucknow_Gomti_Nagar,Lucknow_Gomti_Nagar,North,FR010_UP,Refrigerator,Diagnostic,TECH_LUC002,CUST168941,1.6,None,0,0.0,0.0,550.04,830.71,830.71,0,4.6,10,1,1
SVC010099,2023-03-17,Ahmedabad_Satellite,Ahmedabad_Satellite,West,FR008_Gujarat,Dishwasher,Part Replacement,TECH_AHM009,CUST461249,1.3,None,0,0.0,0.0,403.34,619.17,619.17,0,3.3,65,0,1
SVC010100,2023-05-08,Jaipur_Malviya_Nagar,Jaipur_Malviya_Nagar,North,FR009_Rajasthan,Refrigerator,Maintenance,TECH_JAI003,CUST269834,1.0,None,0,0.0,0.0,269.2,451.28,451.28,0,4.7,33,1,4
SVC010101,2023-10-09,Bangalore_Koramangala,Bangalore_Koramangala,South,FR003_Bangalore,Kitchen Appliances,Maintenance,TECH_BAN010,CUST659392,0.6,None,0,0.0,0.0,191.02,292.69,292.69,0,4.2,116,1,3
SVC010102,2024-07-31,Mumbai_Andheri,Mumbai_Andheri,West,FR001_Mumbai_West,Washing Machine,Installation,TECH_MUM001,CUST772612,3.4,Inlet Valve,1,628.85,958.13,700.59,1159.9,2118.03,0,4.3,39,1,3
SVC010103,2024-12-02,Hyderabad_Gachibowli,Hyderabad_Gachibowli,South,FR007_Hyderabad,Microwave Oven,Annual Maintenance Contract,TECH_HYD002,CUST822063,1.1,Turntable Motor,2,779.18,1225.1,290.25,492.03,1717.1299999999999,0,3.8,98,1,2
SVC010104,2023-11-23,Chennai_Velachery,Chennai_Velachery,South,FR004_Chennai,Dishwasher,Installation,TECH_CHE005,CUST571435,2.1,Door Latch,2,784.07,1122.74,557.52,853.6,1976.3400000000001,0,4.5,64,0,2
SVC010105,2023-11-12,Ahmedabad_Maninagar,Ahmedabad_Maninagar,West,FR008_Gujarat,Washing Machine,Installation,TECH_AHM007,CUST629996,2.6,Door Lock,3,6821.42,4187.0,668.59,261.405,4448.405,1,3.3,34,1,3
SVC010106,2024-01-10,Mumbai_Andheri,Mumbai_Andheri,West,FR001_Mumbai_West,Dishwasher,Installation,TECH_MUM010,CUST689107,2.0,Door Latch,1,401.28,623.14,511.89,867.98,1491.12,0,3.2,13,1,3
SVC010107,2023-12-14,Lucknow_Gomti_Nagar,Lucknow_Gomti_Nagar,North,FR010_UP,Microwave Oven,Cleaning,TECH_LUC003,CUST308727,1.4,Magnetron,1,2077.83,1282.2040000000002,505.11,228.471,1510.6750000000002,1,4.8,18,1,2
SVC010108,2023-06-16,Hyderabad_Gachibowli,Hyderabad_Gachibowli,South,FR007_Hyderabad,Air Conditioner,Part Replacement,TECH_HYD005,CUST722565,1.7,None,0,0.0,0.0,521.0,825.0,825.0,0,4.6,48,1,1
SVC010109,2024-03-02,Surat_Adajan,Surat_Adajan,West,FR008_Gujarat,Microwave Oven,Cleaning,TECH_SUR001,CUST725905,1.2,None,0,0.0,0.0,427.9,689.12,689.12,0,4.4,75,1,2
